Color,Code,Shade
Orient Red Metallic,#AD2C2C,Red
Oryx White Pearl,#f2f2f2,White
Oslo Blue,#2E7FC3,Blue
Ossi Blue,#1C4CAE,Blue
Pacific Blue Metallic,#375975,Blue
Pale Yellow,#F9FFC9,Yellow
Palladium Metallic,#E0CFB3,White
Palma Green Metallic,#5EF05E,Green
Palm Green,#237635,Green
Panther Black Metallic,#454545,Black
Panthero Metallic,#373737,Black
Papaya Metallic,#f45e00,Orange
Pasadena Yellow,#ffe599,Yellow
Pascha Red,#501111,Red
Pastel Beige,#FAF6EB,Beige
Pastel Blue,#4DB3ED,Blue
Pastel Orange,#FF9626,Orange
Pastel Yellow,#fff4a7,Yellow
Pearl Grey,#E3E4E9,Grey
Pearl White Metallic,#F2F2EE,White
Peridot Metallic,#c1df87,Green
Peru Red,#b0301f,Red
Petrol Blue Metallic,#0f647d,Blue
Pewter Metallic,#D3D6D7,Silver
Phoenix Red,#F63C18,Red
Pine Green Metallic,#023122,Green
Pink Pig,#F999DB,Pink
Platinum Metallic,#838272,Silver
Platinum Silver,#AFAFA2,Silver
Polar Blue Metallic,#ACC1C9,Blue
Polar Silver,#CCCCCC,Silver
Polar White,#F1F5F6,White
Polo Red,#F72D2D,Red
Polyantha Red,#8B0F0F,Red
Pongee Beige Metallic,#D6B2B2,Beige
Prosecco,#D7D9D0,Grey
Prussian Blue Metallic,#112a57,Blue
Pure Green,#209E22,Green
Pure Red,#C81111,Red
Pure Blue,#104EAA,Blue
Pure White,#FFFFFF,White
Purpurite,#231939,Purple
Python Green,#268C43,Green
Python Green Chromaflair,#9EDF73,Green
Quartz Grey Metallic,#5D5D58,Grey
Quartzite Grey Metallic,#879586,Grey
Racing Green Metallic,#83B9AB,Green
Racing Red,#A61F1F,Red
Racing Green Metallic,#274c38,Green
Racing Yellow,#F4F100,Yellow
Radium Green,#BBD1CA,Green
Rainforest Green Metallic,#043D28,Green
Rallye Black,#060000,Black
Rally Yellow,#ECD438,Yellow
Raspberry Red Metallic,#AB3F59,Red
Ravenna Green,#B1C845,Green
Red Brown Metallic,#A1523D,Red
Red Metallic,#D11111,Red
Reseda Green Metallic,#d4e595,Green
Rhodium Silver Metallic,#EAE8E8,Silver
Ristretto Brown Metallic,#5D5650,Brown
Riviera Blue,#359bd0,Blue
Rock Green Metallic,#B9CBC4,Green
Rolex Green,#1A5E1E,Green
Rose Red,#F12651,Red
