Color,Code,Shade,Lightness
Rock Green Metallic,#B9CBC4,Green,0.760784314
Radium Green,#BBD1CA,Green,0.776470588
Mint Green,#93FDEA,Green,0.784313725
Inari Silver,#BED7C8,Green,0.794117647
Lime Gold Metallic,#E1E8B4,Green,0.807843137
Sea Green,#C0DDC1,Green,0.809803922
Ice Green Metallic,#D0DCD9,Green,0.839215686
Colibri Green Metallic,#E3F0DC,Green,0.901960784
Meteor Grey Metallic,#2D2D2D,Grey,0.176470588
Lava Grey Metallic,#413838,Grey,0.237254902
Graphite Grey,#454341,Grey,0.262745098
Volcano Grey Metallic,#444343,Grey,0.264705882
Seal Grey Metallic,#474343,Grey,0.270588235
Atlas Grey Metallic,#535353,Grey,0.325490196
Agate Grey Metallic,#5A5A5A,Grey,0.352941176
Quartz Grey Metallic,#5D5D58,Grey,0.354901961
Carbon Steel Grey Metallic,#5F5F62,Grey,0.378431373
Arctic Grey,#676464,Grey,0.398039216
Dolomite Grey Metallic,#6e6964,Grey,0.411764706
Vesuvius Grey Metallic,#6E6C65,Grey,0.41372549
Carbon Grey Metallic,#6F6D69,Grey,0.423529412
Slate Grey,#707070,Grey,0.439215686
Slate Grey Metallic,#707070,Grey,0.439215686
Graphite Grey Metallic,#797979,Grey,0.474509804
Quartzite Grey Metallic,#879586,Grey,0.554901961
Medium Grey,#9C9C9C,Grey,0.611764706
Terra Grey Metallic,#A0A0A0,Grey,0.62745098
Gemini Grey Metallic,#9AA3A9,Grey,0.633333333
Stone Grey,#C2BE81,Grey,0.633333333
Alex Grey,#B2B2B2,Grey,0.698039216
Stone Grey Metallic,#B5BCBF,Grey,0.729411765
China Grey,#BDBDBD,Grey,0.741176471
Grigio Granito Metallic,#BDBDBD,Grey,0.741176471
Meridian Metallic,#C6C2B4,Grey,0.741176471
Graphite Metallic,#BEBEBE,Grey,0.745098039
Nardo Grey,#BFBEBE,Grey,0.747058824
Hellbronze Metallic,#D1D1B9,Grey,0.77254902
Nimbus Grey Metallic,#C8C7CD,Grey,0.792156863
Grigio Telesto Metallic,#C7C7D2,Grey,0.801960784
Fashion Gray,#CDD0D1,Grey,0.811764706
Geyser Grey,#D7D4C8,Grey,0.81372549
Grigio Campovolo,#D0D0D0,Grey,0.815686275
Linen Grey,#DBDAC7,Grey,0.819607843
Prosecco,#D7D9D0,Grey,0.833333333
Beige Grey,#DEDECC,Grey,0.835294118
Ice Grey Metallic,#d9d9d9,Grey,0.850980392
Linen Grey Metallic,#E4E4D6,Grey,0.866666667
Sand Grey,#DEDEDD,Grey,0.868627451
Sports Classic Grey,#DAE1E1,Grey,0.868627451
Arrow Grey Metallic,#E3E3E3,Grey,0.890196078
Marble Grey,#E6E6E3,Grey,0.896078431
Dolphin Gray,#E1EAE8,Grey,0.9
Pearl Grey,#E3E4E9,Grey,0.901960784
Heron Grey,#E9E9E4,Grey,0.903921569
Dolphin Grey,#E3E9EB,Grey,0.905882353
Gabon Grey,#E9E9E5,Grey,0.905882353
Geyser Grey Metallic,#F3F3ED,Grey,0.941176471
Papaya Metallic,#f45e00,Orange,0.478431373
Orange(356),#DC551B,Orange,0.484313725
Continental Orange,#EF4D0E,Orange,0.496078431
Lava Orange,#FF4200,Orange,0.5
Signal Orange,#FF8A00,Orange,0.5
Nepal Orange,#F4650F,Orange,0.507843137
Orange Pearl,#EC8017,Orange,0.507843137
Pastel Orange,#FF9626,Orange,0.574509804
Tangerine,#ff5f27,Orange,0.576470588
Orange,#EE7A3B,Orange,0.582352941
Gulf Orange,#ff8c2f,Orange,0.592156863
Coral Metallic,#DB8B5F,Orange,0.615686275
Ruby Star Neo,#c90d7b,Pink,0.419607843
Rubystar,#D70769,Pink,0.435294118
Ruby Stone,#CD2761,Pink,0.478431373
Pink Pig,#F999DB,Pink,0.788235294
Silver Rose,#F6E7E7,Pink,0.935294118
Violet Chromaflair,#120313,Purple,0.043137255
Viola Metallic,#170424,Purple,0.078431373
Aubergine Metallic,#430C25,Purple,0.154901961
Purpurite,#231939,Purple,0.160784314
Metallic Amethyst,#56032E,Purple,0.174509804
Aubergine,#66093E,Purple,0.217647059
Vesuvio Metallic,#554351,Purple,0.298039216
Merlin Purple Metallic,#543B67,Purple,0.317647059
Velvet Purple Metallic,#482480,Purple,0.321568627
Royal Purple( Lilac),#5D3F6C,Purple,0.335294118
Ultraviolet,#62416B,Purple,0.337254902
Amaranth Violet,#764283,Purple,0.38627451
Viola Purple Metallic,#6335C6,Purple,0.492156863
Magenta,#DA5486,Purple,0.592156863
Violet Blue Metallic,#A478C6,Purple,0.623529412
Frozen Berry Metallic,#b892b6,Purple,0.647058824
Superior Red Metallic,#1e0303,Red,0.064705882
Cherry Red,#370620,Red,0.119607843
Brocade Red,#550808,Red,0.182352941
Burgundy Pearl,#372C26,Red,0.182352941
Pascha Red,#501111,Red,0.190196078
Zyclam- Red Pearl Effect,#5C072B,Red,0.194117647
Burgundy Red,#650712,Red,0.211764706
Sienna Red Metallic,#761A02,Red,0.235294118
Arena Red Metallic,#7c0b26,Red,0.264705882
Maroon,#721616,Red,0.266666667
Auburn Metallic,#7B1010,Red,0.27254902
Burgundy Red Metallic,#7D101C,Red,0.276470588
Maraschino Red Metallic,#6A2727,Red,0.284313725
Carmine Red,#940000,Red,0.290196078
Polyantha Red,#8B0F0F,Red,0.301960784
Crimson Red,#9C0000,Red,0.305882353
Fire Red,#940B0B,Red,0.311764706
Carmona Red Metallic,#8B1934,Red,0.321568627
Surinam Red Metallic,#961212,Red,0.329411765
Garnet Red Metallic,#8F1B1B,Red,0.333333333
G T S Red,#AA0000,Red,0.333333333
Gambia Red,#9A171A,Red,0.347058824
Malaga Red,#aa0808,Red,0.349019608
Racing Red,#A61F1F,Red,0.38627451
Turkish Red,#B80D0D,Red,0.38627451
Amaranth Red Metallic,#BC220D,Red,0.394117647
Rubin Red,#9B3346,Red,0.403921569
Peru Red,#b0301f,Red,0.405882353
Ruby Red Metallic,#AB2A2A,Red,0.417647059
Wine Red Metallic,#C02E16,Red,0.419607843
Pure Red,#C81111,Red,0.425490196
Orient Red Metallic,#AD2C2C,Red,0.425490196
Metallic Dark Red,#B54527,Red,0.431372549
Red Brown Metallic,#A1523D,Red,0.435294118
Cherry Metallic,#BC2424,Red,0.439215686
Velvet Red Metallic,#CA1642,Red,0.439215686
Ruby Red,#C12020,Red,0.441176471
Red Metallic,#D11111,Red,0.443137255
Impulse Red Metallic,#C41F1F,Red,0.445098039
Bahia Red,#E50000,Red,0.449019608
Kiln Red Metallic,#C03B25,Red,0.449019608
Raspberry Red Metallic,#AB3F59,Red,0.458823529
Strawberry Red,#E40808,Red,0.462745098
Metallic Red,#E01212,Red,0.474509804
Zanzibar Red,#D9401C,Red,0.480392157
Indiana Red Metallic,#B74646,Red,0.496078431
Copper Ruby Metallic,#E04C1E,Red,0.498039216
Scarlet Red,#E12F1D,Red,0.498039216
Guards Red,#FF0000,Red,0.5
Orange Red,#FF6000,Red,0.5
Sienna Metallic,#D6432B,Red,0.503921569
Light Red,#ed1a1a,Red,0.515686275
Signal Red,#F21717,Red,0.519607843
Rosso Scuderia,#E12C2C,Red,0.52745098
Phoenix Red,#F63C18,Red,0.529411765
Rose Red,#F12651,Red,0.547058824
Salmon Metallic,#B8725F,Red,0.547058824
Coral Red Metallic,#E93535,Red,0.560784314
Mars Red,#F22F2F,Red,0.566666667
Polo Red,#F72D2D,Red,0.57254902
Cassis Red Metallic,#caaeb6,Red,0.737254902
Titanium,#504F4F,Silver,0.311764706
Platinum Metallic,#838272,Silver,0.480392157
Platinum Silver,#AFAFA2,Silver,0.660784314
964 Polar Silver Metallic,#BCBCBC,Silver,0.737254902
Champagne Metallic,#CFC6B8,Silver,0.766666667
Fish Silver Grey Metallic,#C8C8C8,Silver,0.784313725
Polar Silver,#CCCCCC,Silver,0.8
Umbra Metallic,#CECCCC,Silver,0.803921569
Diamond Silver Metallic,#D3D3D3,Silver,0.82745098
Pewter Metallic,#D3D6D7,Silver,0.835294118
Liquid Metal Silver,#D9D9D9,Silver,0.850980392
Titanium Silver Metallic,#DBDBDB,Silver,0.858823529
